year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,gender_sv,gender_en,granted_count
2022,Verkställighetshinder,Impediments to enforcement,Medicinska hinder,Medical impediments,Man,Man,2
2022,Verkställighetshinder,Impediments to enforcement,Medicinska hinder,Medical impediments,Totalt,Total,6
2022,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Kvinna,Woman,0
2022,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Man,Man,6
2022,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Totalt,Total,6
2022,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Kvinna,Woman,358
2022,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Man,Man,381
2022,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Totalt,Total,739
2022,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Kvinna,Woman,362
2022,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Man,Man,389
2022,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Totalt,Total,751
2023,Anknytning*,Family ties,Adoption,Adoption,Kvinna,Woman,4
2023,Anknytning*,Family ties,Adoption,Adoption,Man,Man,5
2023,Anknytning*,Family ties,Adoption,Adoption,Totalt,Total,9
2023,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Kvinna,Woman,1334
2023,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Man,Man,780
2023,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Totalt,Total,2114
2023,Anknytning*,Family ties,Anhörig till övriga,Family of other,Kvinna,Woman,14598
2023,Anknytning*,Family ties,Anhörig till övriga,Family of other,Man,Man,8161
2023,Anknytning*,Family ties,Anhörig till övriga,Family of other,Totalt,Total,22759
2023,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Kvinna,Woman,122
2023,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Man,Man,106
2023,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Totalt,Total,228
2023,Anknytning*,Family ties,Totalt,Total,Kvinna,Woman,16058
2023,Anknytning*,Family ties,Totalt,Total,Man,Man,9052
2023,Anknytning*,Family ties,Totalt,Total,Totalt,Total,25110
2023,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Kvinna,Woman,7882
2023,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Man,Man,4530
2023,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Totalt,Total,12412
2023,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Kvinna,Woman,4781
2023,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Man,Man,16042
2023,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Totalt,Total,20823
2023,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Kvinna,Woman,42
2023,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Man,Man,99
2023,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Totalt,Total,141
2023,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Kvinna,Woman,558
2023,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Man,Man,767
2023,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Totalt,Total,1325
2023,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Kvinna,Woman,643
2023,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Man,Man,476
2023,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Totalt,Total,1119
2023,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Kvinna,Woman,187
2023,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Man,Man,314
2023,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Totalt,Total,501
2023,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Kvinna,Woman,48
2023,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Man,Man,135
2023,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Totalt,Total,183
2023,Arbetsmarknad,Labour market,Volontär,Volunteer,Kvinna,Woman,6
2023,Arbetsmarknad,Labour market,Volontär,Volunteer,Man,Man,4
2023,Arbetsmarknad,Labour market,Volontär,Volunteer,Totalt,Total,10
2023,Arbetsmarknad,Labour market,Totalt,Total,Kvinna,Woman,14147
2023,Arbetsmarknad,Labour market,Totalt,Total,Man,Man,22367
2023,Arbetsmarknad,Labour market,Totalt,Total,Totalt,Total,36514
2023,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Kvinna,Woman,1542
2023,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Man,Man,1008
2023,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Totalt,Total,2550
2023,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Kvinna,Woman,1316
2023,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Man,Man,911
2023,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Totalt,Total,2227
2023,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Kvinna,Woman,211
2023,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Man,Man,203
2023,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Totalt,Total,414
2023,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Kvinna,Woman,166
2023,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Man,Man,1374
2023,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Totalt,Total,1540
2023,EU/EES,EU/EEA,Totalt,Total,Kvinna,Woman,3235
2023,EU/EES,EU/EEA,Totalt,Total,Man,Man,3496
2023,EU/EES,EU/EEA,Totalt,Total,Totalt,Total,6731
2023,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Kvinna,Woman,378
2023,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Man,Man,502
2023,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Totalt,Total,880
2023,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Kvinna,Woman,1844
2023,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Man,Man,1704
2023,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Totalt,Total,3548
2023,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Kvinna,Woman,5424
2023,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Man,Man,5576
2023,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Totalt,Total,11000
2023,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Kvinna,Woman,390
2023,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Man,Man,657
2023,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Totalt,Total,1047
2023,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Kvinna,Woman,193
2023,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Man,Man,104
2023,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Totalt,Total,297
2023,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Kvinna,Woman,21
2023,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Man,Man,17
2023,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Totalt,Total,38
2023,Skydd,Protection (asylum),Totalt,Total,Kvinna,Woman,8250
2023,Skydd,Protection (asylum),Totalt,Total,Man,Man,8560
2023,Skydd,Protection (asylum),Totalt,Total,Totalt,Total,16810
2023,Studier,Studies,Anhörig till studerande,Family of student,Kvinna,Woman,1902
2023,Studier,Studies,Anhörig till studerande,Family of student,Man,Man,2128
2023,Studier,Studies,Anhörig till studerande,Family of student,Totalt,Total,4030
2023,Studier,Studies,Arbetssökande student,Job-seeking student,Kvinna,Woman,701
2023,Studier,Studies,Arbetssökande student,Job-seeking student,Man,Man,617
2023,Studier,Studies,Arbetssökande student,Job-seeking student,Totalt,Total,1318
2023,Studier,Studies,Doktorand,Doctoral student,Kvinna,Woman,366
2023,Studier,Studies,Doktorand,Doctoral student,Man,Man,525
2023,Studier,Studies,Doktorand,Doctoral student,Totalt,Total,891
2023,Studier,Studies,Högre utbildning,Higher education,Kvinna,Woman,4833
2023,Studier,Studies,Högre utbildning,Higher education,Man,Man,4069
2023,Studier,Studies,Högre utbildning,Higher education,Totalt,Total,8902
2023,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Kvinna,Woman,24
2023,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Man,Man,30
2023,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Totalt,Total,54
2023,Studier,Studies,Studerande övriga studier,Student – other studies,Kvinna,Woman,149
2023,Studier,Studies,Studerande övriga studier,Student – other studies,Man,Man,59
2023,Studier,Studies,Studerande övriga studier,Student – other studies,Totalt,Total,208
2023,Studier,Studies,Studier mobilitet,Student mobility,Kvinna,Woman,181
2023,Studier,Studies,Studier mobilitet,Student mobility,Man,Man,241
2023,Studier,Studies,Studier mobilitet,Student mobility,Totalt,Total,422
2023,Studier,Studies,Totalt,Total,Kvinna,Woman,8156
2023,Studier,Studies,Totalt,Total,Man,Man,7669
2023,Studier,Studies,Totalt,Total,Totalt,Total,15825
2023,Verkställighetshinder,Impediments to enforcement,Humanitär/Medicinsk grund,Humanitarian/medical grounds,Kvinna,Woman,2
2023,Verkställighetshinder,Impediments to enforcement,Humanitär/Medicinsk grund,Humanitarian/medical grounds,Man,Man,2
2023,Verkställighetshinder,Impediments to enforcement,Humanitär/Medicinsk grund,Humanitarian/medical grounds,Totalt,Total,4
2023,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Kvinna,Woman,1
2023,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Man,Man,10
2023,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Totalt,Total,11
2023,Verkställighetshinder,Impediments to enforcement,Tillsvidare verkställighetshinder,Lasting enforcement impediment,Kvinna,Woman,9
2023,Verkställighetshinder,Impediments to enforcement,Tillsvidare verkställighetshinder,Lasting enforcement impediment,Man,Man,89
2023,Verkställighetshinder,Impediments to enforcement,Tillsvidare verkställighetshinder,Lasting enforcement impediment,Totalt,Total,98
2023,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Kvinna,Woman,437
2023,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Man,Man,599
2023,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Totalt,Total,1036
2023,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Kvinna,Woman,449
2023,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Man,Man,700
2023,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Totalt,Total,1149
2024,Anknytning*,Family ties,Adoption,Adoption,Kvinna,Woman,6
2024,Anknytning*,Family ties,Adoption,Adoption,Man,Man,7
2024,Anknytning*,Family ties,Adoption,Adoption,Totalt,Total,13
2024,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Kvinna,Woman,1669
2024,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Man,Man,1251
2024,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Totalt,Total,2920
2024,Anknytning*,Family ties,Anhörig till övriga,Family of other,Kvinna,Woman,13752
2024,Anknytning*,Family ties,Anhörig till övriga,Family of other,Man,Man,7508
2024,Anknytning*,Family ties,Anhörig till övriga,Family of other,Totalt,Total,21260
2024,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Kvinna,Woman,176
2024,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Man,Man,135
2024,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Totalt,Total,311
2024,Anknytning*,Family ties,Totalt,Total,Kvinna,Woman,15603
2024,Anknytning*,Family ties,Totalt,Total,Man,Man,8901
2024,Anknytning*,Family ties,Totalt,Total,Totalt,Total,24504
2024,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Kvinna,Woman,6456
2024,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Man,Man,3551
2024,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Totalt,Total,10007
2024,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Kvinna,Woman,3255
2024,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Man,Man,10172
2024,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Totalt,Total,13427
2024,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Kvinna,Woman,50
2024,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Man,Man,57
2024,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Totalt,Total,107
2024,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Kvinna,Woman,594
2024,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Man,Man,857
2024,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Totalt,Total,1451
2024,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Kvinna,Woman,815
2024,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Man,Man,522
2024,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Totalt,Total,1337
2024,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Kvinna,Woman,146
2024,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Man,Man,269
2024,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Totalt,Total,415
2024,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Kvinna,Woman,73
2024,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Man,Man,180
2024,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Totalt,Total,253
2024,Arbetsmarknad,Labour market,Volontär,Volunteer,Kvinna,Woman,5
2024,Arbetsmarknad,Labour market,Volontär,Volunteer,Man,Man,7
2024,Arbetsmarknad,Labour market,Volontär,Volunteer,Totalt,Total,12
