year,month,year_month,is_year_total,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,granted_count
2021,9,2021-09,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",121
2021,10,2021-10,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",161
2021,11,2021-11,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",65
2021,12,2021-12,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",119
2021,,2021,True,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",1418
2021,1,2021-01,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,59
2021,2,2021-02,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,47
2021,3,2021-03,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,38
2021,4,2021-04,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,22
2021,5,2021-05,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,13
2021,6,2021-06,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,29
2021,7,2021-07,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,91
2021,8,2021-08,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,123
2021,9,2021-09,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,65
2021,10,2021-10,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,26
2021,11,2021-11,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,12
2021,12,2021-12,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,34
2021,,2021,True,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,559
2021,1,2021-01,False,Arbetsmarknad,Labour market,Volontär,Volunteer,0
2021,2,2021-02,False,Arbetsmarknad,Labour market,Volontär,Volunteer,0
2021,3,2021-03,False,Arbetsmarknad,Labour market,Volontär,Volunteer,1
2021,4,2021-04,False,Arbetsmarknad,Labour market,Volontär,Volunteer,3
2021,5,2021-05,False,Arbetsmarknad,Labour market,Volontär,Volunteer,0
2021,6,2021-06,False,Arbetsmarknad,Labour market,Volontär,Volunteer,0
2021,7,2021-07,False,Arbetsmarknad,Labour market,Volontär,Volunteer,0
2021,8,2021-08,False,Arbetsmarknad,Labour market,Volontär,Volunteer,0
2021,9,2021-09,False,Arbetsmarknad,Labour market,Volontär,Volunteer,0
2021,10,2021-10,False,Arbetsmarknad,Labour market,Volontär,Volunteer,4
2021,11,2021-11,False,Arbetsmarknad,Labour market,Volontär,Volunteer,1
2021,12,2021-12,False,Arbetsmarknad,Labour market,Volontär,Volunteer,2
2021,,2021,True,Arbetsmarknad,Labour market,Volontär,Volunteer,11
2021,1,2021-01,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,48
2021,2,2021-02,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,83
2021,3,2021-03,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,100
2021,4,2021-04,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,46
2021,5,2021-05,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,55
2021,6,2021-06,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,43
2021,7,2021-07,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,27
2021,8,2021-08,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,18
2021,9,2021-09,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,38
2021,10,2021-10,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,70
2021,11,2021-11,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,62
2021,12,2021-12,False,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,83
2021,,2021,True,Asyl,Asylum,Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,673
2021,1,2021-01,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,5
2021,2,2021-02,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,28
2021,3,2021-03,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,18
2021,4,2021-04,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,23
2021,5,2021-05,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,17
2021,6,2021-06,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,42
2021,7,2021-07,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,3
2021,8,2021-08,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,0
2021,9,2021-09,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,0
2021,10,2021-10,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,0
2021,11,2021-11,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,0
2021,12,2021-12,False,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,0
2021,,2021,True,Asyl,Asylum,Avslag strider mot konv.åtagande (N3 11§ TL ),Rejection conflicts with international convention,136
2021,1,2021-01,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),1
2021,2,2021-02,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,3,2021-03,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),2
2021,4,2021-04,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),1
2021,5,2021-05,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,6,2021-06,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,7,2021-07,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,8,2021-08,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,9,2021-09,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,10,2021-10,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,11,2021-11,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,12,2021-12,False,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),0
2021,,2021,True,Asyl,Asylum,Gymnasielagen,Upper-secondary-school law (gymnasielagen),4
2021,1,2021-01,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,344
2021,2,2021-02,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,368
2021,3,2021-03,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,474
2021,4,2021-04,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,320
2021,5,2021-05,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,246
2021,6,2021-06,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,280
2021,7,2021-07,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,162
2021,8,2021-08,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,117
2021,9,2021-09,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,184
2021,10,2021-10,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,237
2021,11,2021-11,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,283
2021,12,2021-12,False,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,363
2021,,2021,True,Asyl,Asylum,Konventionsflykting (4 KAP 1 UTLL),Convention refugee,3378
2021,1,2021-01,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,24
2021,2,2021-02,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,19
2021,3,2021-03,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,17
2021,4,2021-04,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,27
2021,5,2021-05,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,31
2021,6,2021-06,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,24
2021,7,2021-07,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,18
2021,8,2021-08,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,24
2021,9,2021-09,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,66
2021,10,2021-10,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,59
2021,11,2021-11,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,49
2021,12,2021-12,False,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,88
2021,,2021,True,Asyl,Asylum,Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,446
2021,1,2021-01,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,6
2021,2,2021-02,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,6
2021,3,2021-03,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,8
2021,4,2021-04,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,9
2021,5,2021-05,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,9
2021,6,2021-06,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,18
2021,7,2021-07,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,4
2021,8,2021-08,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,4
2021,9,2021-09,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,7
2021,10,2021-10,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,15
2021,11,2021-11,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,8
2021,12,2021-12,False,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,10
2021,,2021,True,Asyl,Asylum,Tillfällig/tidsbegränsad,Temporary,104
2021,1,2021-01,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,2,2021-02,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,3,2021-03,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,4,2021-04,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,5,2021-05,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,6,2021-06,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,7,2021-07,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,8,2021-08,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,9,2021-09,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,10,2021-10,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,11,2021-11,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,0
2021,12,2021-12,False,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,1
2021,,2021,True,Asyl,Asylum,UAT pga Sveriges inter. åtaganden (5 KAP 4 UTLL),Permit under international obligations,1
2021,1,2021-01,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),125
2021,2,2021-02,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),80
2021,3,2021-03,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),277
2021,4,2021-04,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),508
2021,5,2021-05,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),571
2021,6,2021-06,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),920
2021,7,2021-07,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),404
2021,8,2021-08,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),945
2021,9,2021-09,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),869
2021,10,2021-10,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),961
2021,11,2021-11,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),511
2021,12,2021-12,False,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),530
2021,,2021,True,Asyl,Asylum,Vidarebosättning (Kvot),Resettlement (quota refugee),6701
2021,1,2021-01,False,EU/EES,EU/EEA,Anhörig EES-medborgare till EU/EES-medborgare,EEA family of EU/EEA citizen,0
2021,2,2021-02,False,EU/EES,EU/EEA,Anhörig EES-medborgare till EU/EES-medborgare,EEA family of EU/EEA citizen,0
2021,3,2021-03,False,EU/EES,EU/EEA,Anhörig EES-medborgare till EU/EES-medborgare,EEA family of EU/EEA citizen,1
2021,4,2021-04,False,EU/EES,EU/EEA,Anhörig EES-medborgare till EU/EES-medborgare,EEA family of EU/EEA citizen,2
2021,5,2021-05,False,EU/EES,EU/EEA,Anhörig EES-medborgare till EU/EES-medborgare,EEA family of EU/EEA citizen,1
2021,6,2021-06,False,EU/EES,EU/EEA,Anhörig EES-medborgare till EU/EES-medborgare,EEA family of EU/EEA citizen,1
