year,month,year_month,is_year_total,permit_type_sv,permit_type_en,occupation_field_sv,occupation_field_en,granted_count
2022,8,2022-08,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",61
2022,9,2022-09,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",110
2022,10,2022-10,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",144
2022,11,2022-11,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",73
2022,12,2022-12,False,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",79
2022,,2022,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",1142
2022,1,2022-01,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,27
2022,2,2022-02,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,41
2022,3,2022-03,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,35
2022,4,2022-04,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,54
2022,5,2022-05,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,56
2022,6,2022-06,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,17
2022,7,2022-07,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,16
2022,8,2022-08,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,29
2022,9,2022-09,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,43
2022,10,2022-10,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,83
2022,11,2022-11,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,21
2022,12,2022-12,False,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,40
2022,,2022,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,462
2022,1,2022-01,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,64
2022,2,2022-02,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,98
2022,3,2022-03,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,156
2022,4,2022-04,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,137
2022,5,2022-05,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,130
2022,6,2022-06,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,75
2022,7,2022-07,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,45
2022,8,2022-08,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,70
2022,9,2022-09,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,87
2022,10,2022-10,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,173
2022,11,2022-11,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,31
2022,12,2022-12,False,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,79
2022,,2022,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,1145
2022,1,2022-01,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",41
2022,2,2022-02,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",374
2022,3,2022-03,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",185
2022,4,2022-04,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",197
2022,5,2022-05,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",98
2022,6,2022-06,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",24
2022,7,2022-07,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",25
2022,8,2022-08,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",17
2022,9,2022-09,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",12
2022,10,2022-10,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",11
2022,11,2022-11,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",8
2022,12,2022-12,False,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",8
2022,,2022,True,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",1000
