year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,person_type_sv,person_type_en,granted_count
2022,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Barn i familj,Child in family,6
2022,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Ensamkommande barn,Unaccompanied minor,0
2022,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Totalt,Total,1732
2022,EU/EES,EU/EEA,Totalt,Total,Vuxen,Adult,5422
2022,EU/EES,EU/EEA,Totalt,Total,Barn i familj,Child in family,2460
2022,EU/EES,EU/EEA,Totalt,Total,Ensamkommande barn,Unaccompanied minor,1
2022,EU/EES,EU/EEA,Totalt,Total,Totalt,Total,7883
2022,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Vuxen,Adult,534
2022,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Barn i familj,Child in family,243
2022,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Ensamkommande barn,Unaccompanied minor,119
2022,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Totalt,Total,896
2022,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Vuxen,Adult,2466
2022,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Barn i familj,Child in family,895
2022,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Ensamkommande barn,Unaccompanied minor,108
2022,Skydd,Protection (asylum),Konventionsflykting (4 KAP 1 UTLL),Convention refugee,Totalt,Total,3469
2022,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Vuxen,Adult,31937
2022,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Barn i familj,Child in family,14839
2022,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Ensamkommande barn,Unaccompanied minor,790
2022,Skydd,Protection (asylum),Massflyktsdirektivet 2001/55/EG,Mass displacement directive 2001/55/EC,Totalt,Total,47566
2022,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Vuxen,Adult,399
2022,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Barn i familj,Child in family,403
2022,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Ensamkommande barn,Unaccompanied minor,17
2022,Skydd,Protection (asylum),Särskilt och synnerligen ömmande omständigheter (5 KAP 6 UTLL + 18§ TL),Particularly distressing circumstances,Totalt,Total,819
2022,Skydd,Protection (asylum),Tillfällig/tidsbegränsad,Temporary,Vuxen,Adult,91
2022,Skydd,Protection (asylum),Tillfällig/tidsbegränsad,Temporary,Barn i familj,Child in family,8
2022,Skydd,Protection (asylum),Tillfällig/tidsbegränsad,Temporary,Ensamkommande barn,Unaccompanied minor,1
2022,Skydd,Protection (asylum),Tillfällig/tidsbegränsad,Temporary,Totalt,Total,100
2022,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Vuxen,Adult,1814
2022,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Barn i familj,Child in family,1845
2022,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Ensamkommande barn,Unaccompanied minor,85
2022,Skydd,Protection (asylum),Vidarebosättning (Kvot),Resettlement (quota refugee),Totalt,Total,3744
2022,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Vuxen,Adult,24
2022,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Barn i familj,Child in family,3
2022,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Ensamkommande barn,Unaccompanied minor,1
2022,Skydd,Protection (asylum),Övrig skyddsbehövande (4 KAP 2A UTLL),Other person in need of protection,Totalt,Total,28
2022,Skydd,Protection (asylum),Totalt,Total,Vuxen,Adult,37265
2022,Skydd,Protection (asylum),Totalt,Total,Barn i familj,Child in family,18236
2022,Skydd,Protection (asylum),Totalt,Total,Ensamkommande barn,Unaccompanied minor,1121
2022,Skydd,Protection (asylum),Totalt,Total,Totalt,Total,56622
2022,Studier,Studies,Anhörig till studerande,Family of student,Vuxen,Adult,2076
2022,Studier,Studies,Anhörig till studerande,Family of student,Barn i familj,Child in family,1703
2022,Studier,Studies,Anhörig till studerande,Family of student,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Anhörig till studerande,Family of student,Totalt,Total,3779
2022,Studier,Studies,Arbetssökande student,Job-seeking student,Vuxen,Adult,863
2022,Studier,Studies,Arbetssökande student,Job-seeking student,Barn i familj,Child in family,0
2022,Studier,Studies,Arbetssökande student,Job-seeking student,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Arbetssökande student,Job-seeking student,Totalt,Total,863
2022,Studier,Studies,Doktorand,Doctoral student,Vuxen,Adult,746
2022,Studier,Studies,Doktorand,Doctoral student,Barn i familj,Child in family,0
2022,Studier,Studies,Doktorand,Doctoral student,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Doktorand,Doctoral student,Totalt,Total,746
2022,Studier,Studies,Högre utbildning,Higher education,Vuxen,Adult,8321
2022,Studier,Studies,Högre utbildning,Higher education,Barn i familj,Child in family,12
2022,Studier,Studies,Högre utbildning,Higher education,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Högre utbildning,Higher education,Totalt,Total,8333
2022,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Vuxen,Adult,32
2022,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Barn i familj,Child in family,0
2022,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Specialiserings- eller uppdragsutbildning,Specialisation or contract training,Totalt,Total,32
2022,Studier,Studies,Studerande övriga studier,Student – other studies,Vuxen,Adult,136
2022,Studier,Studies,Studerande övriga studier,Student – other studies,Barn i familj,Child in family,78
2022,Studier,Studies,Studerande övriga studier,Student – other studies,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Studerande övriga studier,Student – other studies,Totalt,Total,214
2022,Studier,Studies,Studier mobilitet,Student mobility,Vuxen,Adult,570
2022,Studier,Studies,Studier mobilitet,Student mobility,Barn i familj,Child in family,0
2022,Studier,Studies,Studier mobilitet,Student mobility,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Studier mobilitet,Student mobility,Totalt,Total,570
2022,Studier,Studies,Totalt,Total,Vuxen,Adult,12744
2022,Studier,Studies,Totalt,Total,Barn i familj,Child in family,1793
2022,Studier,Studies,Totalt,Total,Ensamkommande barn,Unaccompanied minor,0
2022,Studier,Studies,Totalt,Total,Totalt,Total,14537
2022,Verkställighetshinder,Impediments to enforcement,Medicinska hinder,Medical impediments,Vuxen,Adult,6
2022,Verkställighetshinder,Impediments to enforcement,Medicinska hinder,Medical impediments,Barn i familj,Child in family,0
2022,Verkställighetshinder,Impediments to enforcement,Medicinska hinder,Medical impediments,Ensamkommande barn,Unaccompanied minor,0
2022,Verkställighetshinder,Impediments to enforcement,Medicinska hinder,Medical impediments,Totalt,Total,6
2022,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Vuxen,Adult,6
2022,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Barn i familj,Child in family,0
2022,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Ensamkommande barn,Unaccompanied minor,0
2022,Verkställighetshinder,Impediments to enforcement,Mottagarlandet tar ej emot,Receiving country refuses,Totalt,Total,6
2022,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Vuxen,Adult,502
2022,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Barn i familj,Child in family,231
2022,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Ensamkommande barn,Unaccompanied minor,6
2022,Verkställighetshinder,Impediments to enforcement,Verkställighetshinder annan särskild anledning,Other special enforcement impediment,Totalt,Total,739
2022,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Vuxen,Adult,514
2022,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Barn i familj,Child in family,231
2022,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Ensamkommande barn,Unaccompanied minor,6
2022,Verkställighetshinder,Impediments to enforcement,Totalt,Total,Totalt,Total,751
2023,Anknytning*,Family ties,Adoption,Adoption,Vuxen,Adult,0
2023,Anknytning*,Family ties,Adoption,Adoption,Barn i familj,Child in family,9
2023,Anknytning*,Family ties,Adoption,Adoption,Ensamkommande barn,Unaccompanied minor,0
2023,Anknytning*,Family ties,Adoption,Adoption,Totalt,Total,9
